scale,workload,hysteresis_epochs,tau_v,ahlc_switches,throughput_kops,waf
1000000,A(50R/50U),0,5000,174,363.105,11.8031
1000000,A(50R/50U),0,10000,174,361.902,11.806
1000000,A(50R/50U),0,20000,174,346.389,11.8126
1000000,A(50R/50U),0,50000,174,352.35,11.8063
1000000,A(50R/50U),1,5000,84,368.587,11.5085
1000000,A(50R/50U),1,10000,84,372.044,11.5152
1000000,A(50R/50U),1,20000,84,364.775,11.5123
1000000,A(50R/50U),1,50000,84,369.86,11.5053
1000000,A(50R/50U),2,5000,60,380.81,10.5526
1000000,A(50R/50U),2,10000,60,382.243,10.5594
1000000,A(50R/50U),2,20000,60,373.884,10.5599
1000000,A(50R/50U),2,50000,60,379.292,10.5579
1000000,A(50R/50U),3,5000,43,367.546,12.427
1000000,A(50R/50U),3,10000,43,370.629,12.4248
1000000,A(50R/50U),3,20000,43,368.866,12.4179
1000000,A(50R/50U),3,50000,43,374.96,12.4086
1000000,A(50R/50U),5,5000,30,342.263,14.3123
1000000,A(50R/50U),5,10000,30,344.377,14.2937
1000000,A(50R/50U),5,20000,30,344.799,14.3026
1000000,A(50R/50U),5,50000,30,341.043,14.2934
1000000,A(50R/50U),8,5000,21,378.841,11.4373
1000000,A(50R/50U),8,10000,21,372.071,11.4445
1000000,A(50R/50U),8,20000,21,378.209,11.4301
1000000,A(50R/50U),8,50000,21,382.96,11.4365
1000000,B(95R/5U),0,5000,109,1309.03,10.536
1000000,B(95R/5U),0,10000,109,1280.03,10.5317
1000000,B(95R/5U),0,20000,109,1275.77,10.5339
1000000,B(95R/5U),0,50000,109,1281.49,10.5315
1000000,B(95R/5U),1,5000,53,1296.24,10.7376
1000000,B(95R/5U),1,10000,53,1257.6,10.739
1000000,B(95R/5U),1,20000,53,1282.06,10.7438
1000000,B(95R/5U),1,50000,53,1286.28,10.7425
1000000,B(95R/5U),2,5000,38,1174.86,11.0929
1000000,B(95R/5U),2,10000,38,1226.22,11.102
1000000,B(95R/5U),2,20000,38,1132.1,11.0991
1000000,B(95R/5U),2,50000,38,1090.25,11.096
1000000,B(95R/5U),3,5000,28,1245.97,12.2187
1000000,B(95R/5U),3,10000,28,1231.79,12.2192
1000000,B(95R/5U),3,20000,28,1100.82,12.2147
1000000,B(95R/5U),3,50000,28,1271.74,12.2101
1000000,B(95R/5U),5,5000,19,1252.33,9.84878
1000000,B(95R/5U),5,10000,19,1263.85,9.85057
1000000,B(95R/5U),5,20000,19,1273.93,9.8463
1000000,B(95R/5U),5,50000,19,1251.8,9.84673
1000000,B(95R/5U),8,5000,14,1207.89,12.2691
1000000,B(95R/5U),8,10000,14,1232.36,12.2733
1000000,B(95R/5U),8,20000,14,1226.52,12.2714
1000000,B(95R/5U),8,50000,14,1193.23,12.2742
